Park,Region,PV2020_Total,PV2020_Variance,PV2020_CV,VV2020_Total,VV2020_Variance,VV2020_CV,VV_PV_Ratio,Sat_Score_2020
ACAD,NER,2669034,54859019198.58,1.05,5161393,56602006591.58,0.55,1.93,80
ARCH,IMR,1174041,5417267498.91,0.69,5168835,19499594127.52,0.32,4.40,82
BADL,MWR,919164,6785260020.50,1.08,2933594,24269049143.31,0.64,3.19,81
BIBE,IMR,393908,584956539.39,0.74,5772174,12950629660.08,0.24,14.65,84
BISC,SER,397538,667577967.14,0.78,938926,821745387.47,0.37,2.36,83
BLCA,IMR,341620,386144665.39,0.69,1602895,6029463004.24,0.58,4.69,80
BRCA,IMR,1464655,8752914261.41,0.77,4707648,17941715126.33,0.34,3.21,83
CANY,IMR,469803,1159345040.05,0.80,2654342,3310837642.97,0.26,5.65,78
CARE,IMR,981038,2967440876.81,0.67,2054248,3738251804.39,0.36,2.09,82
CAVE,IMR,183836,64080519.06,0.52,3140075,3560562185.91,0.23,17.08,84
CHIS,PWR,167290,58431363.14,0.55,2209204,668207410.39,0.14,13.21,90
CONG,SER,117970,31648168.14,0.57,1057472,322998122.39,0.20,8.96,82
CRLA,PWR,670500,5655986013.33,1.35,4098651,33013333978.02,0.53,6.11,84
CUVA,MWR,2237997,5372642150.19,0.39,2473467,6420527604.02,0.39,1.11,81
DENA,AKR,54850,31140892.31,1.22,2633325,5553238533.52,0.34,48.01,83
DEVA,PWR,820003,1649672926.91,0.59,4369025,15289062925.74,0.34,5.33,79
DRTO,SER,48543,3647666.85,0.47,1503113,577012623.24,0.19,30.96,84
EVER,SER,702319,1940884879.91,0.75,4216405,23838271048.74,0.44,6.00,81
GAAR,AKR,2872,196348.89,1.85,348333,10720420.52,0.11,121.29,85
GLAC,IMR,1698864,29521840576.83,1.21,15037483,427080015334.41,0.52,8.85,83
GLBA,AKR,5577,247234.91,0.98,543899,128493037.24,0.25,97.53,70
GRBA,PWR,120250,84881222.64,0.92,1480328,2991799837.39,0.44,12.31,77
GRCA,IMR,2850519,11232468942.69,0.45,17140514,74535940244.97,0.19,6.01,81
GRSA,IMR,461533,1380872559.24,0.97,3544712,26565789812.56,0.55,7.68,85
GRSM,SER,11318136,323978439508.98,0.55,13609524,195313757112.00,0.39,1.20,80
GRTE,IMR,3289638,75962680756.25,1.01,5835501,100071466662.19,0.65,1.77,80
GUMO,IMR,131620,79000239.70,0.74,1476322,596744166.64,0.20,11.22,81
HALE,PWR,319147,747645486.74,1.03,1200037,4612174268.58,0.68,3.76,78
HAVO,PWR,589196,1823223709.56,0.87,2725655,30063933770.74,0.76,4.63,82
HOSP,MWR,592074,110550752.75,0.21,2045773,1753165440.58,0.25,3.46,81
INDU,MWR,1667832,19854925810.50,0.68,2926180,40148976989.39,0.82,1.75,83
ISRO,MWR,6493,784237.74,1.64,1630088,1648516085.06,0.30,251.05,80
JEFF,MWR,456493,124289630.05,0.27,536525,73888621.24,0.19,1.18,72
JOTR,PWR,2390952,8974255485.17,0.48,7771800,26294604256.33,0.25,3.25,84
KATM,AKR,51350,39549398.47,1.47,1221114,4982316701.58,0.69,23.78,84
KEFJ,AKR,115835,163072506.07,1.21,479917,93018810.24,0.24,4.14,84
KOVA,AKR,11185,346340.74,0.63,73999,723494.58,0.14,6.62,92
LACL,AKR,4948,271233.89,1.26,305058,11312242.92,0.13,61.65,89
LAVO,PWR,535342,2207099900.81,1.05,3315983,39200779966.08,0.72,6.19,79
MACA,SER,273509,116453216.08,0.47,4610855,27673109637.91,0.43,16.86,79
MEVE,IMR,278527,436760742.96,0.83,2743319,6834286236.74,0.36,9.85,81
MORA,PWR,1177466,12205746936.31,1.13,6943059,57764524879.19,0.42,5.90,82
NOCA,PWR,30885,21041543.52,1.78,2427059,20856409246.24,0.71,78.58,72
NPSA,PWR,4073,652811.83,2.18,176200,11224871.39,0.23,43.26,98
OLYM,PWR,2433164,42529690205.89,1.02,7641854,85391662236.47,0.46,3.14,76
PEFO,IMR,384483,243913175.85,0.49,1581515,611838948.58,0.19,4.11,91
PINN,PWR,165740,56603328.72,0.54,1861824,1552588188.83,0.25,11.23,80
REDW,PWR,265177,98605822.74,0.45,3221466,10008273788.75,0.37,12.15,79
ROMO,IMR,3305199,51759322704.02,0.83,14095243,455739605254.24,0.57,4.26,79
SAGU,IMR,762226,2688113136.14,0.82,1628055,1529230735.85,0.29,2.14,88
SEKI,PWR,796086,3774059365.08,0.93,9422078,162144126931.81,0.51,11.84,80
SHEN,NER,1660270,11153069162.47,0.76,9280968,147537045684.17,0.50,5.59,83
THRO,MWR,551303,2224246420.91,1.03,1708137,4621428019.35,0.48,3.10,83
VIIS,SER,149299,100585781.87,0.74,422061,130019357.19,0.32,2.83,70
VOYA,MWR,263091,572264234.02,1.09,1142576,2953387507.06,0.57,4.34,81
WHSA,IMR,415383,406768273.52,0.58,2759895,2995404335.52,0.24,6.64,87
WICA,MWR,448405,752107434.24,0.73,837021,1319388477.35,0.52,1.87,87
WRST,AKR,16655,4567361.74,1.54,381259,84432528.41,0.29,22.89,72
YELL,IMR,3806306,137448347309.81,1.17,32370499,976430590300.41,0.37,8.50,83
YOSE,PWR,2268313,19592670723.58,0.74,26713216,961639715839.39,0.44,11.78,77
ZION,IMR,3591254,26755533695.97,0.55,14670682,264874260179.31,0.42,4.09,81
